date,price,market_cap,total_volume
2018-04-11,6829.31650379539,115885988821.25359,1550558592.492434
2018-04-12,6925.10199547663,117533696704.9788,1586992258.3407943
2018-04-13,7836.39699399927,133015394395.9933,4980342880.0008135
2018-04-14,7845.75284010594,133189892501.28044,3910297535.1571007
2018-04-15,7897.71993085806,134086501771.11679,2294693915.2394795
2018-04-16,8258.06708369755,140220533919.44476,2350690710.8285303
2018-04-17,8030.99926195254,136379313438.7644,2754142166.1939588
2018-04-18,7873.63551010255,133722872890.26543,2491337660.023414
2018-04-19,8097.41823310301,137539507140.1945,2326968646.2908115
2018-04-20,8277.46063916253,140616565985.04083,2422027692.486585
2018-04-21,8499.45000871487,144401932888.96182,2961030105.150343
2018-04-22,8878.42826029723,150858701627.6664,3214807963.4541373
2018-04-23,8769.01199947348,149017082314.25253,2503340749.6093006
2018-04-24,8881.39170434545,150943914745.9957,2205498227.200402
2018-04-25,9716.48975733072,165155791737.985,4398198651.199843
2018-04-26,8825.2025000693,150020058558.80304,5523433548.358508
2018-04-27,9221.86802618436,156779014055.27072,3847600029.5564957
2018-04-28,8940.38112200719,152009053536.4553,2839339948.818213
2018-04-29,9249.65952508923,157282709009.46033,3006508147.8120923
2018-04-30,9325.62885104679,158592809944.5081,2827554754.4722853
2018-05-01,9198.18950997327,156443377473.375,2508704421.0187726
2018-05-02,9024.3875117766,153504488648.5945,2661071473.28962
2018-05-03,9122.65301383019,155192629946.18726,2179558786.4918017
2018-05-04,9551.13518381566,162498830620.22913,1228125377.9488525
2018-05-05,9634.53822597227,163935762593.6642,2695999383.5138526
2018-05-06,9766.24448548887,166195961946.18,2617990803.561576
2018-05-07,9583.87174550137,163109111220.656,2626417557.0669236
2018-05-08,9308.26502572185,158435513589.56033,2767085706.197567
2018-05-09,9149.51783314723,155749835750.4752,2455200521.7337303
2018-05-10,9248.96039558449,157460887034.23203,2363841215.4382
2018-05-11,8969.94037574258,152728483795.6562,2359598426.330252
2018-05-12,8405.5605632418,143131877388.73486,3726075355.3037004
2018-05-13,8480.58037612559,144426929746.49615,2995955136.9111686
2018-05-14,8683.9862031429,147906738510.20526,2283320839.5720086
2018-05-15,8696.97400387283,148142733211.5191,3143239503.891285
