date, sell_price, buy_price
2023-04-14 09:55,57200,56200
2023-04-14 10:10,57150,56150
2023-04-14 14:10,57100,56100
2023-04-14 14:45,57050,56050
2023-04-14 15:05,57000,56000
2023-04-15 00:00,57000,56000
2023-04-15 08:30,56500,55500
2023-04-15 09:50,56550,55550
2023-04-16 00:00,56550,55550
2023-04-17 00:00,56550,55550
2023-04-17 08:30,56450,55450
2023-04-17 08:45,56500,55500
2023-04-17 09:35,56550,55550
2023-04-17 13:30,56600,55600
2023-04-17 14:00,56650,55650
2023-04-17 15:00,56700,55700
2023-04-17 15:40,56650,55650
2023-04-18 00:00,56650,55650
2023-04-18 08:30,56500,55500
2023-04-18 08:45,56550,55550
2023-04-18 09:00,56600,55600
2023-04-18 10:00,56650,55650
2023-04-18 10:10,56700,55700
2023-04-18 11:35,56750,55750
2023-04-18 13:30,56700,55700
2023-04-18 13:55,56750,55750
2023-04-18 15:15,56800,55800
2023-04-19 00:00,56800,55800
2023-04-19 10:05,56850,55850
2023-04-19 13:35,56750,55750
2023-04-19 15:10,56700,55700
2023-04-19 15:50,56650,55650
2023-04-20 00:00,56650,55650
2023-04-20 08:25,56750,55750
2023-04-20 10:05,56700,55700
2023-04-20 13:20,56750,55750
2023-04-20 13:50,56800,55800
2023-04-20 15:10,56750,55750
2023-04-20 15:35,56800,55800
2023-04-21 00:00,56800,55800
2023-04-21 08:30,56850,55850
2023-04-21 09:50,56900,55900
2023-04-21 13:35,56800,55800
2023-04-21 14:25,56750,55750
2023-04-22 00:00,56750,55750
2023-04-22 08:30,56700,55700
2023-04-23 00:00,56700,55700
2023-04-24 00:00,56700,55700
2023-04-24 13:45,56650,55650
2023-04-24 14:30,56700,55700
2023-04-24 15:00,56700,55750
2023-04-24 15:35,56700,55700
2023-04-24 16:00,56750,55750
2023-04-24 16:20,56750,55800
2023-04-24 16:25,56800,55800
2023-04-25 00:00,56800,55800
2023-04-25 08:40,56950,55950
2023-04-25 08:45,56900,55900
2023-04-25 10:25,56850,55850
2023-04-25 14:10,56800,55800
2023-04-26 00:00,56800,55800
2023-04-26 08:55,56850,55850
2023-04-26 10:40,56800,55800
2023-04-26 13:35,56850,55850
2023-04-26 14:45,56800,55800
2023-04-26 15:00,56850,55850
2023-04-26 16:30,56900,55900
2023-04-26 16:35,56850,55850
2023-04-27 00:00,56850,55850
2023-04-27 08:25,56750,55750
2023-04-27 08:35,56800,55800
2023-04-27 09:25,56850,55850
2023-04-27 09:45,56900,55900
2023-04-28 00:00,56900,55900
2023-04-28 08:35,56750,55750
2023-04-28 13:10,56700,55700
2023-04-29 00:00,56700,55700
2023-04-30 00:00,56700,55700
2023-05-01 00:00,56700,55700
2023-05-02 00:00,56700,55700
2023-05-03 00:00,56700,55700
2023-05-03 08:30,56900,55900
2023-05-03 09:15,56950,55950
2023-05-03 14:45,56900,55900
2023-05-03 15:05,56950,55950
2023-05-04 00:00,56950,55950
2023-05-04 08:30,57350,56300
2023-05-04 08:40,57300,56250
2023-05-04 10:15,57250,56200
2023-05-04 11:40,57300,56250
2023-05-04 13:35,57250,56200
2023-05-04 14:05,57200,56150
2023-05-05 00:00,57200,56150
2023-05-05 08:40,57350,56300
2023-05-05 10:10,57400,56350
2023-05-05 10:35,57450,56400
2023-05-05 11:35,57500,56450
2023-05-05 14:25,57450,56400
2023-05-06 00:00,57450,56400
2023-05-06 08:20,57200,56150
2023-05-07 00:00,57200,56150
2023-05-08 00:00,57200,56150
2023-05-08 08:25,57200,56200
2023-05-08 09:35,57250,56250
2023-05-08 10:35,57300,56300
2023-05-09 00:00,57300,56300
2023-05-09 08:30,57350,56350
2023-05-09 11:00,57400,56400
2023-05-09 13:30,57450,56450
2023-05-09 15:30,57400,56400
2023-05-09 15:45,57450,56450
2023-05-10 00:00,57450,56450
2023-05-10 08:30,57500,56500
2023-05-10 13:35,57450,56450
2023-05-10 15:40,57400,56400
2023-05-10 15:55,57450,56450
2023-05-11 00:00,57450,56450
2023-05-11 08:25,57500,56500
2023-05-11 09:20,57450,56450
2023-05-12 00:00,57450,56450
2023-05-12 08:25,57350,56350
2023-05-12 08:35,57300,56300
2023-05-12 09:00,57350,56350
2023-05-12 13:55,57400,56400
2023-05-12 16:00,57350,56350
2023-05-13 00:00,57350,56350
2023-05-14 00:00,57350,56350
2023-05-15 00:00,57350,56350
2023-05-15 08:20,57450,56450
2023-05-15 08:45,57500,56500
2023-05-15 09:35,57450,56450
