"date" "TCEF" "BVFED" "VCBFBCF" "VFMVF4" "ETF_VFMVN30" "ETF_SSIVN50" "SSIBF" "TCBF" "VEOF" "SSISCA" "VCBFTBF" "VFMVF1"
"2015-03-23" NA NA NA NA 9400 8588 NA NA NA NA NA 21207
"2015-03-24" NA NA NA 9187 9300 8523 NA NA 9667 NA NA 21087
"2015-03-25" NA NA 9700 NA 9200 8455 NA NA NA 9954 10998 20996
"2015-03-26" NA NA NA NA 9200 8458 NA NA NA NA NA 20951
"2015-03-27" NA NA 9699 NA 9300 8387 NA NA NA NA 10991 20812
"2015-03-30" NA NA NA NA 9000 8251 NA NA NA NA NA 20615
"2015-03-31" NA NA 9620 8989 9200 8342 NA NA 9431 9912 10914 20737
"2015-04-01" NA NA NA NA 8900 8083 NA NA NA 9829 NA 20433
"2015-04-02" NA NA NA NA 9000 8256 NA NA NA NA NA 20684
"2015-04-03" NA NA 9674 NA 9000 8280 NA NA NA NA 10960 20758
"2015-04-06" NA NA NA NA 8900 8231 NA NA NA NA NA 20645
"2015-04-07" NA NA NA 9006 9000 8326 NA NA 9405 NA NA 20847
"2015-04-08" NA NA 9803 NA 8900 8271 NA NA NA 9914 11070 20822
"2015-04-09" NA NA NA NA 9000 8323 NA NA NA NA NA 20969
"2015-04-10" NA NA 9812 NA 9100 8412 NA NA NA NA 11101 21085
"2015-04-13" NA NA NA NA 9000 8331 NA NA NA NA NA 21067
"2015-04-14" NA NA NA 9097 9000 8300 NA NA 9607 NA NA 20973
"2015-04-15" NA NA 9815 NA 9100 8453 NA NA NA 9979 11096 21202
"2015-04-16" NA NA NA NA 9200 8515 NA NA NA NA NA 21304
"2015-04-17" NA NA 9970 NA 9300 8539 NA NA NA NA 11220 21357
"2015-04-20" NA NA NA NA 9200 8504 NA NA NA NA NA 21260
"2015-04-21" NA NA NA 9166 9100 8492 NA NA 9630 NA NA 21153
"2015-04-22" NA NA 10032 NA 9100 8462 NA NA NA 10026 11275 21178
"2015-04-23" NA NA NA NA 9100 8444 NA NA NA NA NA 21053
"2015-04-24" NA NA 10060 NA 9100 8477 NA NA NA NA 11295 21112
"2015-04-27" NA NA NA NA 9100 8449 NA NA NA NA NA 20990
"2015-04-28" NA NA NA NA NA NA NA NA 9456 NA NA NA
"2015-04-30" NA NA 9992 NA NA 8448 NA NA 9454 9994 11224 NA
"2015-05-03" NA NA NA 9104 NA NA NA NA NA NA NA NA
"2015-05-04" NA NA 9990 NA 9000 8112 NA NA NA NA 11223 20423
"2015-05-05" NA NA NA 8978 8900 8154 NA NA 9238 NA NA 20672
"2015-05-06" NA NA 9800 NA 8900 8069 NA NA NA 9840 11045 20520
"2015-05-07" NA NA NA NA 9000 8137 NA NA NA NA NA 20675
"2015-05-08" NA NA 9825 NA 8900 8155 NA NA NA NA 11058 20757
"2015-05-11" NA NA NA NA 9000 8079 NA NA NA NA NA 20636
"2015-05-12" NA NA NA 8872 8800 7992 NA NA 9204 NA NA 20442
"2015-05-13" NA NA 9666 NA 8800 8013 NA NA NA 9812 10891 20388
"2015-05-14" NA NA NA NA 8900 8047 NA NA NA NA NA 20545
"2015-05-15" NA NA 9750 NA 8700 7953 NA NA NA NA 10989 20236
"2015-05-18" NA NA NA NA 8700 7751 NA NA NA NA NA 19846
"2015-05-19" NA NA NA 8737 8700 7861 NA NA 8824 NA NA 20076
"2015-05-20" NA NA 9606 NA 8800 8121 NA NA NA 9871 10880 20650
"2015-05-21" NA NA NA NA 8800 8208 NA NA NA NA NA 20755
"2015-05-22" NA NA 9833 NA 9100 8139 NA NA NA NA 11102 21329
"2015-05-25" NA NA NA NA 9000 8206 NA NA NA NA NA 21416
"2015-05-26" NA NA NA 9485 9100 8384 NA NA 9262 NA NA 21341
"2015-05-27" NA NA 9890 NA 9100 8414 NA NA NA 9888 11143 21355
"2015-05-28" NA NA NA NA 9100 8657 NA NA NA NA NA 21522
"2015-05-29" NA NA 9951 NA 9100 8604 NA NA NA NA 11185 21498
"2015-05-31" NA NA 9957 NA NA 8603 NA NA 9282 9955 11166 NA
"2015-06-01" NA NA NA NA 9100 8665 NA NA NA NA NA 21500
"2015-06-02" NA NA NA 9539 9100 8614 NA NA 9270 NA NA 21382
"2015-06-03" NA NA 9907 NA 9000 8757 NA NA NA 9868 11143 21478
"2015-06-04" NA NA NA NA 9000 8845 NA NA NA NA NA 21575
"2015-06-05" NA NA 9999 NA 9100 9077 NA NA NA NA 11219 21851
"2015-06-08" NA NA NA NA 9100 9226 NA NA NA NA NA 21910
"2015-06-09" NA NA NA 9678 9100 9102 NA NA 9463 NA NA 21831
"2015-06-10" NA NA 10071 NA 9000 9171 NA NA NA 9992 11278 21885
"2015-06-11" NA NA NA NA 9200 9256 NA NA NA NA NA 22054
"2015-06-12" NA NA 10148 NA 9200 9320 NA NA NA NA 11336 22230
"2015-06-15" NA NA NA NA 9300 9345 NA NA NA NA NA 22169
"2015-06-16" NA NA NA 9736 9300 9197 NA NA 9740 NA NA 21967
"2015-06-17" NA NA 10121 NA 9200 9056 NA NA NA 9995 11302 21861
"2015-06-18" NA NA NA NA 9200 9127 NA NA NA NA NA 21904
"2015-06-19" NA NA 10145 NA 9300 9103 NA NA NA NA 11324 22024
"2015-06-22" NA NA NA NA 9400 9091 NA NA NA NA NA 22267
"2015-06-23" NA NA NA 9932 9400 9085 NA NA 9767 NA NA 22274
"2015-06-24" NA NA 10326 NA 9400 9087 NA NA NA 10081 11485 22121
"2015-06-25" NA NA NA NA 9400 9045 NA NA NA NA NA 22072
"2015-06-26" NA NA 10218 NA 9500 8955 NA NA NA NA 11418 21988
"2015-06-29" NA NA NA NA 9600 8966 NA NA NA NA NA 22300
"2015-06-30" NA NA NA 9961 9700 8873 NA NA 9765 10183 11465 22261
"2015-07-01" NA NA 10268 NA 9600 8935 NA NA NA 10206 NA 22341
"2015-07-02" NA NA NA NA 9700 9113 NA NA NA NA NA 22729
"2015-07-03" NA NA 10398 NA 9800 9236 NA NA NA NA 11577 22992
"2015-07-06" NA NA NA NA 10100 9451 NA NA NA NA NA 23205
"2015-07-07" NA NA NA 10477 10000 9427 NA NA 10022 NA NA 23175
"2015-07-08" NA NA 10554 10368 10000 9258 NA NA NA 10348 11707 23016
"2015-07-09" NA NA NA 10414 10000 9258 NA NA NA NA NA 23092
"2015-07-10" NA NA 10484 10471 10100 9321 NA NA NA NA 11648 23245
"2015-07-13" NA NA NA 10578 10000 9348 NA NA NA NA NA 23437
"2015-07-14" NA NA NA 10591 10100 9383 NA NA 10100 NA NA 23391
"2015-07-15" NA NA 10602 10451 10100 9196 NA NA NA 10352 11753 23097
"2015-07-16" NA NA NA 10429 10100 9199 NA NA NA NA NA 23097
"2015-07-17" NA NA 10510 10424 10100 9145 NA NA NA NA 11682 23069
"2015-07-20" NA NA NA 10345 10000 8979 NA NA NA NA NA 22912
"2015-07-21" NA NA NA 10314 10000 8849 NA NA 9945 NA NA 22864
"2015-07-22" NA NA 10479 10536 10100 9097 NA NA NA 10594 11688 23321
"2015-07-23" NA NA NA 10554 10100 8985 NA NA NA NA NA 23346
"2015-07-24" NA NA 10721 10630 10100 8991 NA NA NA NA 11894 23512
"2015-07-27" NA NA NA 10752 10200 9061 NA NA NA NA NA 23764
"2015-07-28" NA NA NA 10715 10300 8911 NA NA 10293 NA NA 23718
"2015-07-29" NA NA 10932 10645 10300 8914 NA NA NA 10697 12049 23582
"2015-07-30" NA NA NA 10632 10300 9036 NA NA NA NA NA 23562
"2015-07-31" NA NA 10818 10576 10300 8945 NA NA 10127 10608 11961 23462
"2015-08-03" NA NA NA 10379 10100 8739 NA NA NA NA NA 23137
"2015-08-04" NA NA NA 10329 10000 8726 NA NA 10011 NA NA 23054
"2015-08-05" NA NA 10543 10483 10000 8880 NA NA NA 10603 11723 23398
"2015-08-06" NA NA NA 10429 10000 8806 NA NA NA NA NA 23349
"2015-08-07" NA NA 10670 10502 10000 8808 NA NA NA NA 11828 23479
"2015-08-10" NA NA NA 10719 10200 8865 NA NA NA NA NA 23907
"2015-08-11" NA NA NA 10683 10200 8792 NA NA 10298 NA NA 23793
"2015-08-12" NA NA 10934 10573 10100 8645 NA NA NA 10695 12053 23537
"2015-08-13" NA NA NA 10459 9900 8489 NA NA NA NA NA 23280
"2015-08-14" NA NA 10746 10397 9900 8407 NA NA NA NA 11898 23201
"2015-08-17" NA NA NA 10163 9700 8183 NA NA NA NA NA 22749
"2015-08-18" NA NA NA 10249 9600 8268 NA NA 10082 NA NA 22968
"2015-08-19" NA NA 10678 10294 9500 8278 NA NA NA 10584 11875 23012
"2015-08-20" NA NA NA 10153 9500 8095 NA NA NA NA NA 22711
"2015-08-21" NA NA 10555 10031 9300 7975 NA NA NA NA 11791 22386
"2015-08-24" NA NA NA 9575 8900 7412 NA NA NA NA NA 21363
"2015-08-25" NA NA NA 9600 8900 7541 NA NA 9464 NA NA 21429
"2015-08-26" NA NA 9926 9831 9100 7882 NA NA NA 10336 11261 22016
"2015-08-27" NA NA NA 9884 9300 7903 NA NA NA NA NA 22192
"2015-08-28" NA NA 10319 10029 9900 8093 NA NA NA NA 11590 22514
"2015-08-31" NA NA 10360 9928 9400 7904 NA NA 9874 10334 11629 22256
"2015-09-01" NA NA NA 9926 9300 7917 NA NA NA NA NA 22314
"2015-09-02" NA NA NA NA NA NA NA NA NA 10320 NA NA
"2015-09-03" NA NA 10307 9806 9100 7842 NA NA NA NA 11609 22010
"2015-09-04" NA NA 10174 9793 9100 7828 NA NA NA NA 11509 22045
"2015-09-07" NA NA NA 9761 9100 7752 NA NA NA NA NA 21947
"2015-09-08" NA NA NA 9926 9300 7886 NA NA 9791 NA NA 22276
"2015-09-09" 10000 NA 10261 10024 9300 7994 NA 10000 NA 10373 11573 22496
"2015-09-10" 10000 NA NA 10037 9300 7931 NA 10030 NA NA NA 22509
"2015-09-11" 10000 NA 10394 9968 9200 7888 NA 10000 NA NA 11681 22394
"2015-09-12" 10000 NA NA NA NA NA NA 10000 NA NA NA NA
"2015-09-13" 10000 NA NA NA NA NA NA 10000 NA NA NA NA
"2015-09-14" 10000 NA NA 9963 9300 7790 NA 10000 NA NA NA 22359
"2015-09-15" 10000 NA NA 9967 9100 7773 NA 10000 9884 NA NA 22399
"2015-09-16" 9993 NA 10304 9959 9100 7822 NA 9994 NA 10267 11598 22347
"2015-09-17" 9993 NA NA 9943 9200 7869 NA 9994 NA NA NA 22336
"2015-09-18" 9993 NA 10340 10063 9300 7936 NA 9994 NA NA 11632 22632
"2015-09-19" 9993 NA NA NA NA NA NA 9994 NA NA NA NA
"2015-09-20" 9993 NA NA NA NA NA NA 9994 NA NA NA NA
"2015-09-21" 9993 NA NA 10203 9400 8006 NA 9994 NA NA NA 22894
"2015-09-22" 9993 NA NA 10223 9400 8044 NA 9994 10156 NA NA 22990
