"Date","Price","Open","High","Low","Change %"
"May 18, 2009","17,782.5","17,780.0","17,785.5","17,750.0","-0.00%"
"May 15, 2009","17,783.0","17,764.0","17,783.0","17,750.0","0.08%"
"May 14, 2009","17,768.5","17,767.0","17,803.5","17,750.0","-0.03%"
"May 13, 2009","17,773.0","17,765.0","17,796.0","17,750.0","-0.02%"
"May 12, 2009","17,777.0","17,764.0","17,790.0","17,750.0","-0.05%"
"May 11, 2009","17,785.5","17,780.0","17,785.5","17,750.0","0.06%"
"May 08, 2009","17,775.0","17,780.0","17,793.0","17,750.0","0.01%"
"May 07, 2009","17,773.0","17,780.0","17,798.0","17,750.0","-0.06%"
"May 06, 2009","17,784.0","17,780.0","17,790.0","17,750.0","0.02%"
"May 05, 2009","17,780.0","17,780.0","17,789.0","17,750.0","-0.02%"
"May 04, 2009","17,784.0","17,780.0","17,786.0","17,750.0","0.01%"
"May 01, 2009","17,781.5","17,780.0","17,781.5","17,780.0","-0.01%"
"Apr 30, 2009","17,783.0","17,782.0","17,783.0","17,782.0","0.00%"
"Apr 29, 2009","17,783.0","17,763.0","17,783.0","17,750.0","0.06%"
"Apr 28, 2009","17,773.0","17,780.0","17,795.0","17,750.0","-0.02%"
"Apr 27, 2009","17,776.0","17,761.0","17,785.0","17,750.0","0.02%"
"Apr 24, 2009","17,773.0","17,780.0","17,793.0","17,750.0","-0.29%"
"Apr 23, 2009","17,825.0","17,780.0","17,832.0","17,750.0","0.28%"
"Apr 22, 2009","17,775.0","17,780.0","17,857.0","17,700.0","-0.06%"
"Apr 21, 2009","17,785.5","17,785.0","17,785.5","17,700.0","-0.36%"
"Apr 20, 2009","17,850.0","17,785.0","17,850.0","17,760.0","0.38%"
"Apr 17, 2009","17,782.5","17,785.0","17,787.5","17,760.0","-0.00%"
"Apr 16, 2009","17,783.0","17,750.0","17,787.0","17,740.0","-0.21%"
"Apr 15, 2009","17,820.0","17,730.0","17,834.0","17,690.0","0.32%"
"Apr 14, 2009","17,762.5","17,730.0","17,853.5","17,690.0","-0.10%"
"Apr 13, 2009","17,780.0","17,783.0","17,833.0","17,730.0","0.04%"
"Apr 10, 2009","17,773.0","17,770.0","17,795.0","17,730.0","-0.01%"
"Apr 09, 2009","17,775.0","17,784.0","17,859.0","17,700.0","-0.05%"
"Apr 08, 2009","17,784.0","17,780.0","17,785.0","17,720.0","0.19%"
"Apr 07, 2009","17,750.0","17,760.0","17,825.0","17,710.0","-0.08%"
"Apr 06, 2009","17,764.0","17,740.0","17,764.0","17,740.0","-0.08%"
"Apr 03, 2009","17,779.0","17,770.0","17,792.0","17,700.0","0.05%"
"Apr 02, 2009","17,770.0","17,700.0","17,805.0","17,650.0","0.08%"
"Apr 01, 2009","17,755.0","17,770.0","17,860.0","17,680.0","-0.17%"
"Mar 31, 2009","17,786.0","17,740.0","17,863.0","17,700.0","0.01%"
"Mar 30, 2009","17,784.5","17,700.0","17,885.5","17,700.0","-0.03%"
"Mar 27, 2009","17,789.5","17,780.0","17,879.5","17,700.0","-0.13%"
"Mar 26, 2009","17,812.5","17,750.0","17,882.5","17,700.0","0.30%"
"Mar 25, 2009","17,758.5","17,700.0","17,925.5","17,640.0","0.36%"
"Mar 24, 2009","17,695.0","17,450.0","17,805.0","17,450.0","1.18%"
"Mar 23, 2009","17,488.0","17,485.0","17,540.0","17,436.0","0.00%"
"Mar 20, 2009","17,487.5","17,480.0","17,541.5","17,435.0","-0.24%"
"Mar 19, 2009","17,530.0","17,480.0","17,580.0","17,457.0","0.26%"
"Mar 18, 2009","17,484.0","17,483.0","17,536.0","17,432.0","0.00%"
"Mar 17, 2009","17,484.0","17,483.0","17,537.0","17,432.0","0.01%"
"Mar 16, 2009","17,483.0","17,483.0","17,534.0","17,432.0","0.00%"
"Mar 13, 2009","17,483.0","17,482.0","17,533.0","17,432.0","-0.01%"
"Mar 12, 2009","17,485.5","17,484.0","17,535.5","17,432.0","0.00%"
"Mar 11, 2009","17,485.0","17,480.0","17,536.0","17,434.0","0.02%"
"Mar 10, 2009","17,481.0","17,482.0","17,536.0","17,428.0","0.00%"
"Mar 09, 2009","17,481.0","17,479.0","17,531.0","17,430.0","0.00%"
"Mar 06, 2009","17,481.0","17,477.0","17,532.0","17,430.0","0.01%"
"Mar 05, 2009","17,479.0","17,478.0","17,480.0","17,450.0","0.02%"
"Mar 04, 2009","17,475.5","17,476.0","17,480.5","17,428.0","-0.03%"
"Mar 03, 2009","17,480.5","17,428.0","17,530.5","17,428.0","0.00%"
"Mar 02, 2009","17,480.5","17,479.0","17,532.5","17,428.0","0.00%"
"Feb 27, 2009","17,480.5","17,478.0","17,531.5","17,428.0","-0.01%"
"Feb 26, 2009","17,481.5","17,481.0","17,533.5","17,430.0","0.00%"
"Feb 25, 2009","17,481.5","17,480.0","17,532.5","17,430.0","0.01%"
"Feb 24, 2009","17,479.0","17,475.0","17,530.0","17,428.0","-0.03%"
"Feb 23, 2009","17,483.5","17,479.0","17,533.5","17,430.0","0.01%"
"Feb 20, 2009","17,481.5","17,481.0","17,486.5","17,430.0","-0.01%"
"Feb 19, 2009","17,483.5","17,485.0","17,563.5","17,430.0","0.00%"
"Feb 18, 2009","17,483.5","17,470.0","17,539.5","17,430.0","-0.02%"
"Feb 17, 2009","17,487.5","17,470.0","17,540.5","17,435.0","0.02%"
"Feb 16, 2009","17,484.0","17,489.0","17,579.0","17,430.0","0.00%"
"Feb 13, 2009","17,484.0","17,487.0","17,579.0","17,430.0","0.01%"
"Feb 12, 2009","17,483.0","17,484.0","17,538.0","17,430.0","-0.01%"
"Feb 11, 2009","17,485.5","17,485.0","17,536.5","17,435.0","0.01%"
"Feb 10, 2009","17,483.0","17,483.0","17,537.0","17,430.0","0.08%"
"Feb 09, 2009","17,469.0","17,500.0","17,515.0","17,454.0","-0.09%"
"Feb 06, 2009","17,484.5","17,485.0","17,538.5","17,434.0","0.00%"
"Feb 05, 2009","17,484.5","17,487.0","17,538.5","17,434.0","0.00%"
"Feb 04, 2009","17,484.5","17,487.0","17,537.5","17,434.0","0.00%"
"Feb 03, 2009","17,484.5","17,482.0","17,575.5","17,426.0","0.00%"
"Feb 02, 2009","17,484.5","17,480.0","17,536.5","17,434.0","0.00%"
"Jan 30, 2009","17,484.5","17,475.0","17,533.5","17,422.0","0.04%"
"Jan 29, 2009","17,477.0","17,422.0","17,477.0","17,422.0","0.00%"
"Jan 28, 2009","17,477.0","17,422.0","17,477.0","17,422.0","0.00%"
"Jan 27, 2009","17,477.0","17,422.0","17,477.0","17,422.0","0.00%"
"Jan 26, 2009","17,477.0","17,472.0","17,477.0","17,472.0","0.00%"
"Jan 23, 2009","17,477.0","17,480.0","17,486.0","17,420.0","0.03%"
"Jan 22, 2009","17,472.5","17,475.0","17,539.5","17,415.0","-0.27%"
"Jan 21, 2009","17,520.0","17,480.0","17,570.0","17,430.0","0.27%"
"Jan 20, 2009","17,472.5","17,470.0","17,538.5","17,415.0","0.00%"
"Jan 19, 2009","17,472.5","17,475.0","17,536.5","17,415.0","-0.03%"
"Jan 16, 2009","17,478.5","17,475.0","17,480.5","17,420.0","-0.01%"
"Jan 15, 2009","17,480.0","17,475.0","17,481.0","17,450.0","0.01%"
"Jan 14, 2009","17,479.0","17,475.0","17,485.0","17,450.0","0.02%"
"Jan 13, 2009","17,476.0","17,500.0","17,556.0","17,420.0","-0.02%"
"Jan 12, 2009","17,479.0","17,470.0","17,485.0","17,450.0","0.02%"
"Jan 09, 2009","17,476.0","17,472.0","17,536.0","17,420.0","0.02%"
"Jan 08, 2009","17,472.0","17,460.0","17,577.0","17,410.0","-0.04%"
"Jan 07, 2009","17,478.5","17,400.0","17,532.5","17,400.0","0.01%"
"Jan 06, 2009","17,477.5","17,400.0","17,531.5","17,400.0","0.03%"
"Jan 05, 2009","17,472.0","17,480.0","17,540.0","17,400.0","-0.04%"
"Jan 02, 2009","17,479.0","17,420.0","17,535.0","17,400.0","-0.02%"
"Jan 01, 2009","17,483.0","17,480.0","17,483.0","17,480.0","0.00%"
"Dec 31, 2008","17,483.0","17,420.0","17,488.0","17,370.0","0.08%"
"Dec 30, 2008","17,469.5","17,400.0","17,507.5","17,400.0","-0.12%"
"Dec 29, 2008","17,490.5","17,400.0","17,490.5","17,397.0","0.11%"
"Dec 26, 2008","17,472.0","17,350.0","17,520.0","17,350.0","0.76%"
