time,open,high,low,close,EMA,EMA,EMA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram
2021-09-01,25000,25030,24790,24840,21383.84846052179,25072.855990183867,25251.127469107687,41.323701778451564,48.184888043730766,NaN,NaN,41.323701778451564,NaN,NaN,NaN,-136.8189308953897
2021-09-06,25000,25230,25000,25190,21421.720615143462,25077.449872921756,25245.305805383145,48.5903667439873,47.651127542846815,NaN,NaN,NaN,NaN,NaN,NaN,-134.3857622893829
2021-09-07,25190,25700,25190,25700,21464.290559271387,25101.863603395414,25288.610014394275,56.95556529905387,47.30521757863029,NaN,NaN,NaN,NaN,NaN,NaN,-122.92164237340785
2021-09-08,25600,25600,25100,25120,21500.665777587095,25102.57483463481,25272.551917785295,47.49127454285048,46.51068397138842,NaN,NaN,NaN,NaN,NaN,NaN,-124.98553431156415
2021-09-09,25280,25550,25050,25300,21538.47009820812,25110.316997982463,25275.16602085336,50.25400927014907,46.09641523591063,NaN,NaN,NaN,NaN,NaN,NaN,-123.21911371318947
2021-09-10,25500,25800,25500,25750,21580.375868375202,25135.40260590472,25320.38830458161,56.42643030087068,46.011122148425635,NaN,NaN,NaN,NaN,NaN,NaN,-113.46071047511123
2021-09-13,25580,25880,25580,25840,21622.760188092863,25163.033876261397,25369.875132716697,57.560608474416775,46.896426699784676,NaN,NaN,NaN,NaN,NaN,NaN,-104.35788925000725
2021-09-14,25860,25860,25500,25650,21662.83222602229,25182.130586996245,25396.55369150558,54.34464801698593,47.74000711924686,NaN,NaN,NaN,NaN,NaN,NaN,-101.06476988872691
2021-09-15,25650,25750,25390,25750,21703.50056208177,25204.39997574149,25430.215244695526,55.74606788947991,48.56459255328457,NaN,NaN,NaN,NaN,NaN,NaN,-96.8378589237991
2021-09-16,25890,25890,25100,25100,21737.296576389414,25200.305859045744,25398.766173772143,45.88646883709247,48.88800058939778,NaN,NaN,45.88646883709247,NaN,NaN,NaN,-105.9541666978539
2021-09-17,25700,26100,25600,26100,21780.706560703948,25235.587982220422,25465.550347698605,58.149918435961,50.087369311144435,NaN,NaN,NaN,NaN,NaN,NaN,-94.39094839406789
2021-09-20,26110,26280,26100,26180,21824.480624776545,25272.623747623544,25533.59317172731,58.95137512722234,51.34398493940977,NaN,NaN,NaN,NaN,58.95137512722234,NaN,-84.21141403874935
2021-09-21,25800,25900,25500,25500,21861.05295686832,25281.540463403013,25530.393822038994,50.158482872016656,51.86813773548561,NaN,NaN,NaN,NaN,NaN,NaN,-89.39268721498956
2021-09-22,25850,25910,25600,25610,21898.355912521372,25294.42122954407,25537.975362797184,51.420766431779874,52.37569171573699,NaN,NaN,NaN,NaN,NaN,NaN,-91.57034823508548
2021-09-23,26100,26350,26010,26120,21940.362321352004,25326.796867601166,25593.406280626023,56.8741440880111,53.486437594991244,NaN,NaN,NaN,NaN,NaN,NaN,-83.93064153027262
2021-09-24,26100,26260,26100,26250,21983.244288303726,25363.000912008963,25655.939015804495,58.16337127798075,54.17022363313364,NaN,NaN,NaN,NaN,NaN,NaN,-75.90070051928797
2021-09-27,26250,26250,25750,25800,22021.22195707682,25380.138131145868,25669.6591095374,52.3314900051664,53.83993254071311,NaN,NaN,NaN,NaN,NaN,NaN,-78.48189403799279
2021-09-28,25760,26220,25390,26000,22060.81178834969,25404.446439728385,25701.12014672431,54.51439696118024,54.341584142022384,NaN,NaN,NaN,NaN,NaN,NaN,-77.0441051389389
2021-09-29,26150,26150,25610,25870,22098.714158614865,25422.703442091977,25717.203942274376,52.82119066669707,54.52495424177581,NaN,NaN,NaN,NaN,NaN,NaN,-78.69546175281539
2021-09-30,25870,26250,25660,26250,22140.020485394816,25455.14644436288,25767.94642396253,57.0232057493109,54.567581059521544,NaN,NaN,NaN,NaN,NaN,NaN,-73.16524228108028
2021-10-01,26190,26250,25600,25600,22174.44814225656,25460.82697595649,25751.951526442288,48.98612772359661,53.955118148748674,NaN,NaN,48.98612772359661,NaN,NaN,NaN,-81.4199257836035
2021-10-04,25600,25980,25500,25980,22212.3143298958,25481.18670238957,25773.67042868588,53.14396083061278,53.86935477829345,NaN,NaN,NaN,NaN,NaN,NaN,-80.94385844423596
2021-10-05,25850,26000,25750,26000,22250.0027445237,25501.5323219037,25795.22562595389,53.35942434879638,53.6988802396732,NaN,NaN,NaN,NaN,NaN,NaN,-80.48416029653436
2021-10-06,26000,26030,25900,25900,22286.321125175204,25517.15850535846,25805.204137767807,52.070131612370815,54.140570437907364,NaN,NaN,NaN,NaN,NaN,NaN,-82.28233477621325
2021-10-07,25920,26200,25650,26000,22323.273153780425,25536.093465932638,25823.756124647065,53.285687811283076,53.793125393287525,NaN,NaN,NaN,NaN,NaN,NaN,-82.05834165988472
2021-10-08,26000,26600,26000,26590,22365.728147275146,25577.42313393528,25896.731731823536,59.76860652546952,53.85149906459089,NaN,NaN,NaN,NaN,NaN,NaN,-71.10742581777686
2021-10-11,26990,26990,26500,26960,22411.442295063454,25631.64183456527,25997.99537641177,63.21616774400453,54.784190841161454,NaN,NaN,NaN,NaN,NaN,NaN,-56.09871104291324
