"Date","Price","Open","High","Low","Vol.","Change %"
"01/06/2017","18,540","18,528","18,669","18,446","1.68M","0.00%"
"01/05/2017","18,540","18,481","18,540","18,446","935.44K","0.32%"
"01/04/2017","18,481","18,411","18,540","18,340","600.72K","0.38%"
"01/03/2017","18,411","18,328","18,446","18,211","1.02M","0.45%"
"12/30/2016","18,328","18,434","18,563","18,270","5.91M","-1.89%"
"12/29/2016","18,681","18,681","18,798","18,505","2.56M","-0.12%"
"12/28/2016","18,704","18,740","18,740","18,575","1.13M","-0.19%"
"12/27/2016","18,740","18,669","18,916","18,575","2.02M","0.38%"
"12/26/2016","18,669","18,211","18,669","18,211","2.24M","2.65%"
"12/23/2016","18,187","18,223","18,305","18,152","1.59M","-0.13%"
"12/22/2016","18,211","18,211","18,293","18,047","2.00M","-0.45%"
"12/21/2016","18,293","18,164","18,317","18,094","1.25M","0.71%"
"12/20/2016","18,164","17,624","18,164","17,518","2.34M","2.38%"
"12/19/2016","17,741","18,328","18,622","17,389","11.16M","-1.56%"
"12/16/2016","18,023","17,976","18,129","17,917","418.56K","-0.26%"
"12/15/2016","18,070","18,305","18,305","18,070","887.60K","-0.77%"
"12/14/2016","18,211","17,859","18,211","17,859","572.00K","1.57%"
"12/13/2016","17,929","17,882","18,035","17,753","673.44K","0.00%"
"12/12/2016","17,929","18,270","18,270","17,929","675.12K","-1.55%"
"12/09/2016","18,211","18,211","18,328","18,094","654.40K","0.00%"
"12/08/2016","18,211","18,434","18,434","18,035","777.68K","0.52%"
"12/07/2016","18,117","18,035","18,199","17,635","1.44M","0.13%"
"12/06/2016","18,094","18,446","18,787","18,035","2.39M","-1.91%"
"12/05/2016","18,446","19,268","19,268","18,446","2.00M","-4.85%"
"12/02/2016","19,386","19,586","19,586","19,386","1.34M","-0.30%"
"12/01/2016","19,445","19,386","19,680","19,386","1.99M","0.30%"
"11/30/2016","19,386","19,151","19,386","19,033","1.57M","1.23%"
"11/29/2016","19,151","19,268","19,268","19,092","898.56K","0.31%"
"11/28/2016","19,092","19,092","19,445","19,092","2.29M","-0.31%"
"11/25/2016","19,151","19,057","19,268","18,798","862.16K","0.56%"
"11/24/2016","19,045","19,033","19,268","19,033","548.24K","0.06%"
"11/23/2016","19,033","19,268","19,386","18,798","1.93M","-1.46%"
"11/22/2016","19,315","18,340","19,315","18,340","2.18M","5.05%"
"11/21/2016","18,387","18,375","18,552","18,328","381.52K","0.32%"
"11/18/2016","18,328","18,105","18,505","18,105","554.48K","0.32%"
"11/17/2016","18,270","18,094","18,528","17,976","1.20M","1.64%"
"11/16/2016","17,976","18,223","18,246","17,964","1.28M","-1.41%"
"11/15/2016","18,234","18,505","18,563","18,164","1.30M","-1.15%"
"11/14/2016","18,446","18,446","18,904","18,446","1.59M","-0.76%"
"11/11/2016","18,587","18,505","18,798","18,328","847.92K","0.44%"
"11/10/2016","18,505","18,681","18,916","18,387","1.87M","1.61%"
"11/09/2016","18,211","17,894","18,211","17,271","2.56M","0.52%"
"11/08/2016","18,117","18,035","18,446","17,976","1.09M","1.12%"
"11/07/2016","17,917","17,859","18,082","17,812","277.44K","0.66%"
"11/04/2016","17,800","17,976","18,270","17,741","2.71M","-0.98%"
"11/03/2016","17,976","17,154","17,976","17,154","5.02M","4.22%"
"11/02/2016","17,248","17,271","17,541","17,154","835.28K","-0.13%"
"11/01/2016","17,271","16,801","17,295","16,801","844.88K","1.38%"
"10/31/2016","17,036","17,447","17,447","17,036","947.04K","-2.36%"
"10/28/2016","17,447","17,212","17,447","17,212","945.20K","1.37%"
"10/27/2016","17,212","17,024","17,212","17,024","1.10M","1.73%"
"10/26/2016","16,919","16,836","17,212","16,836","1.62M","0.00%"
"10/25/2016","16,919","17,107","17,142","16,801","1.28M","-1.03%"
"10/24/2016","17,095","17,847","17,847","17,095","1.83M","-3.64%"
"10/21/2016","17,741","17,741","18,211","17,530","1.38M","0.66%"
"10/20/2016","17,624","17,659","17,682","17,389","1.15M","-0.20%"
"10/19/2016","17,659","17,835","17,964","17,635","831.36K","0.20%"
"10/18/2016","17,624","16,684","17,847","16,684","2.15M","4.68%"
"10/17/2016","16,836","17,154","17,248","16,813","1.68M","-3.18%"
"10/14/2016","17,389","17,436","17,859","17,342","1.17M","0.27%"
"10/13/2016","17,342","16,214","17,342","16,214","5.92M","6.96%"
"10/12/2016","16,214","15,885","16,319","15,885","988.00K","1.92%"
"10/11/2016","15,908","15,908","15,908","15,626","915.04K","0.89%"
"10/10/2016","15,767","15,755","15,908","15,755","570.08K","-0.22%"
"10/07/2016","15,802","15,955","16,073","15,755","842.48K","-0.96%"
"10/06/2016","15,955","15,849","16,214","15,838","842.88K","0.59%"
"10/05/2016","15,861","16,202","16,202","15,861","955.76K","-0.74%"
"10/04/2016","15,979","16,319","16,319","15,967","1.55M","-2.08%"
