date,BITCOIN
2018-02-13,193510727.125
2018-02-14,215107693.35
2018-02-15,227784155.225
2018-02-16,230878279.17499998
2018-02-17,252541461.25
2018-02-18,235704758.3
2018-02-19,252961550
2018-02-20,254991261.15
2018-02-21,237494878.72500002
2018-02-22,223362175
2018-02-23,230702145.095
2018-02-24,220324063.11
2018-02-25,218263091.595
2018-02-26,234242600
2018-02-27,240394750.785
2018-02-28,234562543.39000002
2018-03-01,247887627.96
2018-03-02,250371000
2018-03-03,260215132.5
2018-03-04,261066393.9
2018-03-05,259026764.41000003
2018-03-06,243633650
2018-03-07,225774240
2018-03-08,211751609.29999998
2018-03-09,210653055
2018-03-10,200193009.84
2018-03-11,217000642.67999998
2018-03-12,207557520
2018-03-13,208172395.125
2018-03-14,186845348.495
2018-03-15,188059322.325
2018-03-16,188376237.5
2018-03-17,179043247.79000002
2018-03-18,186486784
2018-03-19,195545763
2018-03-20,202693050
2018-03-21,202502080.94
2018-03-22,198660476.55
2018-03-23,203564661.3
2018-03-24,194540146.02
2018-03-25,192753759
2018-03-26,185795595
2018-03-27,177815108.95499998
2018-03-28,181244927.68
2018-03-29,161491031.905
2018-03-30,156093539.94
2018-03-31,157928229
2018-04-01,155364131.94
2018-04-02,160573390.425
2018-04-03,169361969
2018-04-04,154955575.04000002
2018-04-05,154812381.9
2018-04-06,150929975.525
2018-04-07,157200663.025
2018-04-08,160073778.025
2018-04-09,154330980.525
2018-04-10,155558584.575
2018-04-11,158234213.595
2018-04-12,180393766
2018-04-13,179858173.935
2018-04-14,182362866.015
2018-04-15,190386904.125
2018-04-16,183334503.07500002
2018-04-17,179722847.25
2018-04-18,185654786.70000002
2018-04-19,188473446
2018-04-20,201902700.44
2018-04-21,203021944.24
2018-04-22,200279967.72
2018-04-23,203379097.95
2018-04-24,219720850
2018-04-25,201869498.62
2018-04-26,211098128.37
2018-04-27,203108466.92499998
2018-04-28,212383227.365
2018-04-29,213726729.135
2018-04-30,210421696.57
2018-05-01,206517073.41500002
2018-05-02,209184515.28
2018-05-03,221382156.75
2018-05-04,220512922.5
2018-05-05,223131300
2018-05-06,218577600
2018-05-07,213027778.125
2018-05-08,209001678.225
2018-05-09,211827922.16
2018-05-10,205169312.70000002
2018-05-11,191343824.1
2018-05-12,192975750
2018-05-13,197782497
2018-05-14,197394225
2018-05-15,193036002.92999998
2018-05-16,190013740
2018-05-17,183543725
2018-05-18,187718569.60500002
2018-05-19,187652263.8
2018-05-20,194060913.53
2018-05-21,191131218.96
2018-05-22,181875935.15
2018-05-23,170918870
2018-05-24,172751768.7
2018-05-25,169843934.7
2018-05-26,167085121.5
2018-05-27,167282992.8
2018-05-28,162164097.13
2018-05-29,170367750
2018-05-30,168670128.55
2018-05-31,170702910
2018-06-01,171303953.04
2018-06-02,174087466.74
2018-06-03,175682116.89
2018-06-04,170914194.99
2018-06-05,173789797.04500002
2018-06-06,174579930
2018-06-07,175231773.86
2018-06-08,173655992.19
2018-06-09,170865445.2
2018-06-10,154315675.83
2018-06-11,156993455.5
2018-06-12,149314129.365
2018-06-13,143771675
2018-06-14,151443872.37
2018-06-15,145822075.52
2018-06-16,147945560.64
2018-06-17,147098402.56
2018-06-18,153207180.72
2018-06-19,153950545.935
2018-06-20,154495116.75
2018-06-21,153710791.77
2018-06-22,138724429.35
2018-06-23,141436503.825
2018-06-24,140788646.075
2018-06-25,143018013.975
2018-06-26,139222154
2018-06-27,140656649.375
2018-06-28,134222451.25
2018-06-29,142396882.06
2018-06-30,146548467.61499998
2018-07-01,145774995.75
2018-07-02,151770333.555
2018-07-03,149859380.52
2018-07-04,151768721.33
2018-07-05,150528967.42499998
2018-07-06,152040900
2018-07-07,155571934.72
2018-07-08,154389931.905
2018-07-09,153532126.39000002
2018-07-10,145234096.15
2018-07-11,147252081.76
2018-07-12,144044238
2018-07-13,143291700.79
2018-07-14,144037631.15
2018-07-15,146344575.23
2018-07-16,155102434.905
2018-07-17,168618295.51
2018-07-18,170082030.005
2018-07-19,172198670.52
2018-07-20,169088640.84
2018-07-21,170784032
2018-07-22,170548881.20000002
2018-07-23,179299090.25
2018-07-24,194971260.5
2018-07-25,189388630.125
2018-07-26,183863528.2
2018-07-27,190139658.825
2018-07-28,191177919.25
2018-07-29,190886119.05
2018-07-30,190014007.57500002
2018-07-31,179914027.41
2018-08-01,177108333.085
2018-08-02,175408492.4
2018-08-03,172792548.48
